Package,Zone,Dist,Mandal,GPName,zonemandalgp,LGDCode,uscno,areacode,billmonth,billdate,billno,totalbillamt,unit,arrearamount
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,MARRIGADDA,GP,201014,8081401022,80814,09-2022,"Sep 14, 2022 9:06:23 AM",002209A1280,16524,549,0
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,MARRIGADDA,GP,201014,8081401022,80814,07-2022,"Jul 5, 2022 1:07:52 PM",112207A0278,10986,77,0
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,MARRIGADDA,GP,201014,8081401022,80814,06-2022,"Jun 10, 2022 2:06:44 PM",112206A1090,10029,75,0
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,MARRIGADDA,GP,201014,8081401022,80814,05-2022,"May 12, 2022 7:05:47 AM",112205A1143,9081,94,0
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,MARRIGADDA,GP,201014,8081401022,80814,04-2022,"Apr 10, 2022 11:04:13 AM",112204A1127,7960,21,0
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,MARRIGADDA,GP,201014,8081401022,80814,03-2022,"Mar 8, 2022 7:03:38 AM",112203A0651,7588,10,0
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,MARRIGADDA,GP,201014,8081401022,80814,02-2022,"Feb 10, 2022 11:02:44 AM",112202A1157,7277,66,0
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,MARRIGADDA,GP,201014,8081401022,80814,01-2022,"Jan 9, 2022 2:31:30 PM",002201A0964,6513,86,0
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,MARRIGADDA,GP,201014,8081401022,80814,12-2021,"Dec 4, 2021 11:38:56 AM",0021129837,5598,69,0
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,MARRIGADDA,GP,201014,8081401022,80814,11-2021,"Nov 8, 2021 10:00:55 AM",0021119069,4811,75,0
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,MARRIGADDA,GP,201014,8081401022,80814,10-2021,"Oct 9, 2021 8:52:55 AM",0021107916,3979,71,0
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,MARRIGADDA,GP,201014,8081401022,80814,09-2021,"Sep 5, 2021 5:13:22 PM",0021096282,3177,70,0
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,CHANDURTHY,GP,201007,8080402036,80804,09-2022,"Sep 6, 2022 9:09:57 AM",582209A0629,16817,370,0
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,CHANDURTHY,GP,201007,8080402036,80804,07-2022,"Jul 6, 2022 9:57:18 AM",002207A0649,13062,112,0
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,CHANDURTHY,GP,201007,8080402036,80804,06-2022,"Jun 7, 2022 7:16:57 AM",002206A0466,11760,148,0
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,CHANDURTHY,GP,201007,8080402036,80804,05-2022,"May 6, 2022 7:19:47 AM",002205A0432,10103,112,0
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,CHANDURTHY,GP,201007,8080402036,80804,04-2022,"Apr 12, 2022 9:33:01 AM",002204A1167,8768,94,0
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,CHANDURTHY,GP,201007,8080402036,80804,03-2022,"Mar 11, 2022 11:35:33 AM",002203A1192,7792,88,0
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,CHANDURTHY,GP,201007,8080402036,80804,02-2022,"Feb 8, 2022 10:56:14 AM",002202A0875,6862,118,0
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,CHANDURTHY,GP,201007,8080402036,80804,01-2022,"Jan 13, 2022 9:06:24 AM",002201A1191,5670,61,0
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,CHANDURTHY,GP,201007,8080402036,80804,12-2021,"Dec 6, 2021 11:52:47 AM",002112G2372,4944,74,0
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,CHANDURTHY,GP,201007,8080402036,80804,11-2021,"Nov 3, 2021 1:05:57 PM",002111G0790,4120,0,0
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,CHANDURTHY,GP,201007,8080402036,80804,10-2021,"Oct 3, 2021 12:42:13 PM",002110F9513,3810,0,0
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,CHANDURTHY,GP,201007,8080402036,80804,09-2021,"Sep 14, 2021 11:56:30 AM",002109F9305,3500,80,0
Package-C,KARIMNAGAR,SIRCILLA,CHANDURTHI,RAMARAOPALLY,GP,201018,8082200365,80822,09-2022,"Sep 6, 2022 9:09:37 AM",132209A0719,12356,227,0
