Package,Zone,Dist,Mandal,GPName,zonemandalgp,LGDCode,USCNo,Previousreading,CurrentReading,LastDate,CurrentDate,AddlCharges,TotalAmount,NewAmount,ACDAmount,ArrearAmount,EnergyCharge,FixedCharge,CustCharge,Adjustment,other,scno,name,eroarea,unit
Package-B,Warangal,Warangal Urban,Dharmasagar,DHARMASAGAR,GP,213415,16678272,493,493,15-07-2022,11-08-2022,0,176,176,182,0,,,,,,12801-04684,TS FIBER GRID CORPORATION LTD ,Rural/HNK,0
Package-B,Warangal,Warangal Urban,Elkathurthy,SURARAM,GP,201124,16518894,243,306,15-05-2022,23-07-2022,50,664,2694,0,2030,,,,,,21506-01499,TS FIBER GRID CORPORATION LTD ,KAMALAPUR,63
Package-B,Warangal,Warangal Rural,Wardhannapet,RAMOJI  KUMMARI GUDEM THANDA,GP,277954,16669086,679,754,06-07-2022,06-08-2022,150,953,4577,0,3624,,,,,,13431-00081,TELANGANA FIBER GRID CORPORATI,WARDHANNAPET,75
Package-B,Warangal,Warangal Rural,Wardhannapet,LIABERTHY,GP,214228,16742073,399,478,22-07-2022,13-08-2022,0,864,2064,0,1200,,,,,,13408-01732,TELANGANA FIBER GRID CORPORATI,WARDHANNAPET,79
Package-B,Warangal,Warangal Rural,Wardhannapet,BOKKALAGUDEM,GP,277955,16742074,27,37,22-07-2022,27-08-2022,0,181,347,0,166,,,,,,13438-00004,TELANGANA FIBER GRID CORPORATI,WARDHANNAPET,10
Package-B,Warangal,Warangal Rural,Wardhannapet,KOTHAPALLE,GP,214227,16742075,65,80,19-07-2022,13-08-2022,0,216,417,0,201,,,,,,13407-00781,TELANGANA FIBER GRID CORPORATI,WARDHANNAPET,15
Package-B,Warangal,Warangal Rural,Narsampet,ENUGAL THANDA,GP,278009,16545586,180,180,12-05-2022,20-07-2022,50,350,4081,0,3731,,,,,,11724-00141,TELANGANA FIBER GRID CORPORATI,NARSAMPET,0
Package-B,Warangal,Warangal Rural,Narsampet,MUTYALAMMA THANDA,GP,278020,16670910,2,2,14-05-2022,19-07-2022,50,371,2041,0,1670,,,,,,11732-00033,TELANGANA FIBERGRID CORPORATIO,NARSAMPET,0
Package-B,Warangal,Warangal Rural,Narsampet,NAGURLAPALLE,GP,213944,16464814,779,891,10-05-2022,09-07-2022,300,1528,4674,948,3146,,,,,,11719-00478,TELANGANA FIBER GRID CORPORATI,NARSAMPET,112
Package-B,Warangal,Warangal Rural,Narsampet,PATA MAQDUMPURAM,GP,213333,16464920,1334,1417,07-07-2022,07-08-2022,0,871,1315,942,444,,,,,,11905-02345,TELANGANA FIBER GRID CORPORATI,NEKKONDA,83
