Package,Zone,Dist,Mandal,GPName,zonemandalgp,LGDCode,USCNo,SerialNo,BillDate,DueDate,BillAmount,ACDAmount,Amount,act
Package-B,Nalgonda,Nalgonda,Devarakonda,MYNAMPALLY,GP,207429,112964794,4422600486,07-08-2022,21-08-2022,1389,650,1389,739
Package-B,Nalgonda,Nalgonda,Devarakonda,MARRICHETTU THANDA,GP,279573,112964792,4421100370,07-08-2022,21-08-2022,2342,1462,2342,880
Package-B,Nalgonda,Nalgonda,Devarakonda,DUBBATANDA,GP,279570,113466764,4421100380,06-08-2022,20-08-2022,1785,838,1785,947
Package-B,Nalgonda,Nalgonda,Devarakonda,MADMADAKA,GP,207427,112964791,4421100369,04-08-2022,18-08-2022,2862,1840,2862,1022
Package-B,Nalgonda,Nalgonda,Devarakonda,AMMATONIGUDEM,GP,279586,112964795,4422600487,06-08-2022,20-08-2022,2798,2038,2798,760
Package-B,Nalgonda,Nalgonda,Devarakonda,BUILDING THANDA,GP,279289,113009161,4471201081,06-08-2022,20-08-2022,1288,410,1288,878
Package-B,Nalgonda,Nalgonda,Devarakonda,POLEPALLY RAMNAGAR,GP,207276,113009159,4471201079,05-08-2022,19-08-2022,2888,1342,2888,1546
Package-B,Nalgonda,Nalgonda,Devarakonda,MANAVATH THANDA,GP,279286,113009160,4471201080,05-08-2022,19-08-2022,2567,1600,2567,967
Package-B,Nalgonda,Nalgonda,Devarakonda,CHINTABAVI,GP,279550,113017793,4423300141,08-08-2022,22-08-2022,2113,736,2113,1377
Package-B,Nalgonda,Nalgonda,Devarakonda,TATIKOLE,GP,207433,113017792,4421901866,11-08-2022,25-08-2022,2411,976,2411,1435
Package-B,Nalgonda,Nalgonda,Devarakonda,MANGALONIBAVI,GP,279545,113017794,4423400068,10-08-2022,24-08-2022,2058,786,2058,1272
Package-B,Nalgonda,Nalgonda,Devarakonda,KONDA BHEMANAPALLY,GP,207425,113053138,4420901496,08-08-2022,22-08-2022,2176,770,2176,1406
Package-B,Nalgonda,Nalgonda,Devarakonda,SHAKRU TANDA,GP,279589,113053174,4422600488,07-08-2022,21-08-2022,668,668,668,0
Package-B,Nalgonda,Nalgonda,Devarakonda,KACHARAM,GP,279559,113146411,4421000665,03-08-2022,17-08-2022,1378,976,1378,402
Package-B,Nalgonda,Nalgonda,Devarakonda,VAIDONIVAMPU,GP,279542,113053161,4421901867,12-08-2022,26-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Devarakonda,SAPAVAT THANDA,GP,279646,113053149,4421701105,11-08-2022,25-08-2022,200,0,200,200
Package-B,Nalgonda,Nalgonda,Devarakonda,VENKAT THANDA,GP,279649,113260502,4421701115,09-08-2022,23-08-2022,175,0,175,175
Package-B,Nalgonda,Nalgonda,Devarakonda,TURPUPALLY,GP,207435,113260605,4421701116,17-08-2022,31-08-2022,4983,2378,4983,2605
